x,y,z,color
0,198.3,200,red 
20,198.31,200,red 
40,198.79,200,red 
60,199.773,200,red 
80,206.93,200,yellow
100,258.16,200,yellow
120,273.36,200,yellow
140,281.668,200,yellow
160,291.15,200,yellow
180,298.664,200,blue
200,303.12,200,blue
220,306.61,200,blue
240,309.85,200,blue
260,312.664,200,blue
280,315.58,200,blue
300,317.7,200,blue
320,319.57,200,blue
340,321.69,200,blue
360,323.416,200,blue
380,324.642,200,blue
400,326.216,200,blue
420,327.71,200,blue
440,329.09,200,blue
460,329.97,200,blue
480,331.19,200,blue
500,332.41,200,blue
520,333.394,200,blue
540,334.342,200,blue
560,335.16,200,blue
580,335.978,200,blue
600,336.64,200,blue
